user_id,item_id,event_type,watch_fraction,event_time
user-001,video-001,watch,0.95,2026-07-01T12:00:00Z
user-001,video-002,like,1.00,2026-07-03T13:00:00Z
user-001,video-005,share,0.98,2026-07-11T14:00:00Z
user-001,video-007,watch,0.91,2026-07-16T15:00:00Z
user-001,video-011,like,0.97,2026-07-29T16:00:00Z
user-002,video-001,like,0.99,2026-07-02T10:00:00Z
user-002,video-005,watch,0.88,2026-07-12T11:00:00Z
user-002,video-003,hide,0.10,2026-07-13T11:30:00Z
user-002,video-007,share,1.00,2026-07-17T12:00:00Z
user-002,video-013,like,0.96,2026-08-05T13:00:00Z
user-003,video-003,watch,0.92,2026-07-05T09:00:00Z
user-003,video-009,like,0.98,2026-07-22T09:30:00Z
user-003,video-004,watch,0.78,2026-07-24T10:00:00Z
user-003,video-010,share,0.95,2026-07-25T10:30:00Z
user-003,video-014,watch,0.82,2026-08-08T11:00:00Z
user-004,video-004,like,0.96,2026-07-08T08:00:00Z
user-004,video-010,watch,0.91,2026-07-24T08:30:00Z
user-004,video-003,watch,0.85,2026-07-26T09:00:00Z
user-004,video-009,like,0.93,2026-07-27T09:30:00Z
user-004,video-014,hide,0.15,2026-08-08T10:00:00Z
user-005,video-006,watch,0.94,2026-07-12T07:00:00Z
user-005,video-012,like,0.99,2026-08-02T07:30:00Z
user-005,video-008,watch,0.83,2026-08-03T08:00:00Z
user-005,video-014,like,0.97,2026-08-08T08:30:00Z
user-006,video-002,watch,0.89,2026-07-04T14:00:00Z
user-006,video-007,like,0.95,2026-07-18T14:30:00Z
user-006,video-001,watch,0.87,2026-07-20T15:00:00Z
user-006,video-013,share,1.00,2026-08-06T15:30:00Z
user-007,video-008,like,0.92,2026-07-19T17:00:00Z
user-007,video-014,watch,0.94,2026-08-08T17:30:00Z
user-007,video-006,watch,0.81,2026-08-09T18:00:00Z
user-007,video-012,like,0.96,2026-08-09T18:30:00Z
user-008,video-003,like,0.97,2026-07-06T19:00:00Z
user-008,video-009,share,1.00,2026-07-23T19:30:00Z
user-008,video-004,watch,0.86,2026-07-26T20:00:00Z
user-008,video-010,like,0.94,2026-07-27T20:30:00Z
