event_time,transaction_id,amount_log,account_age_hours_log,card_attempt_count_10m,card_amount_1h_log,device_accounts_24h,country_changed_1h,cvv_failed,label
2026-05-01T00:00:00Z,t001,2.40,6.90,1,2.40,1,0,0,0
2026-05-02T00:00:00Z,t002,3.10,5.30,1,3.10,1,0,0,0
2026-05-03T00:00:00Z,t003,5.90,0.70,5,7.10,4,1,1,1
2026-05-04T00:00:00Z,t004,4.20,7.50,1,4.20,1,0,0,0
2026-05-05T00:00:00Z,t005,6.30,1.00,4,7.00,5,1,1,1
2026-05-06T00:00:00Z,t006,3.80,6.10,2,4.40,1,0,0,0
2026-05-07T00:00:00Z,t007,5.10,4.80,1,5.10,2,0,0,0
2026-05-08T00:00:00Z,t008,4.90,0.40,6,7.50,7,1,1,1
2026-05-09T00:00:00Z,t009,2.90,7.20,1,2.90,1,0,0,0
2026-05-10T00:00:00Z,t010,5.80,5.90,2,6.10,1,0,0,0
2026-05-11T00:00:00Z,t011,6.60,0.80,3,7.00,3,1,0,1
2026-05-12T00:00:00Z,t012,3.50,6.40,1,3.50,1,0,0,0
2026-05-13T00:00:00Z,t013,4.70,5.20,2,5.30,2,0,0,0
2026-05-14T00:00:00Z,t014,5.60,1.20,5,6.90,6,0,1,1
2026-05-15T00:00:00Z,t015,2.10,8.00,1,2.10,1,0,0,0
2026-05-16T00:00:00Z,t016,4.40,6.80,1,4.40,1,0,0,0
2026-05-17T00:00:00Z,t017,6.10,0.30,7,7.80,8,1,1,1
2026-05-18T00:00:00Z,t018,3.70,5.70,2,4.20,1,0,0,0
2026-05-19T00:00:00Z,t019,5.30,2.20,3,6.20,4,1,0,1
2026-05-20T00:00:00Z,t020,4.00,7.10,1,4.00,1,0,0,0
2026-05-21T00:00:00Z,t021,6.70,0.60,4,7.40,5,1,1,1
2026-05-22T00:00:00Z,t022,3.20,6.30,1,3.20,1,0,0,0
2026-05-23T00:00:00Z,t023,4.60,5.80,2,5.00,2,0,0,0
2026-05-24T00:00:00Z,t024,5.70,1.40,5,7.20,6,1,0,1
2026-05-25T00:00:00Z,t025,2.70,7.70,1,2.70,1,0,0,0
2026-05-26T00:00:00Z,t026,5.00,4.90,1,5.00,1,0,0,0
2026-05-27T00:00:00Z,t027,6.40,0.90,6,7.70,7,1,1,1
2026-05-28T00:00:00Z,t028,3.90,6.00,2,4.50,1,0,0,0
2026-05-29T00:00:00Z,t029,5.40,1.10,4,6.80,5,1,0,1
2026-05-30T00:00:00Z,t030,4.10,6.60,1,4.10,1,0,0,0
2026-05-31T00:00:00Z,t031,6.80,0.50,7,8.00,8,1,1,1
2026-06-01T00:00:00Z,t032,3.30,7.00,1,3.30,1,0,0,0
2026-06-02T00:00:00Z,t033,4.80,5.40,2,5.20,2,0,0,0
2026-06-03T00:00:00Z,t034,5.90,1.30,5,7.30,6,1,1,1
2026-06-04T00:00:00Z,t035,2.50,7.90,1,2.50,1,0,0,0
2026-06-05T00:00:00Z,t036,5.20,4.60,2,5.60,2,0,0,0
2026-06-06T00:00:00Z,t037,6.50,0.70,6,7.90,7,1,1,1
2026-06-07T00:00:00Z,t038,3.60,6.20,1,3.60,1,0,0,0
2026-06-08T00:00:00Z,t039,5.50,1.00,4,6.90,5,1,0,1
2026-06-09T00:00:00Z,t040,4.30,6.50,1,4.30,1,0,0,0
